name,label,full_name,latitude,longitude,year,color,icon,scale
N1 Ártúnshöfða,,N1 Ártúnshöfða,64.12355607,-21.82642771,2023,##F27E18,locator,0.7
N1 Bíldshöfða,,N1 Bíldshöfða,64.12439714,-21.82864838,2023,##F27E18,locator,0.7
N1 Háholti,,N1 Háholti,64.15518,-21.52911,2023,##F27E18,locator,0.7
N1 Lækjargata,,N1 Lækjargata,64.06804,-21.93116,2023,##F27E18,locator,0.7
Hlöllabátar Hagasmára,,Hlöllabátar Hagasmára,64.10807,-21.86818,2023,##F27E18,locator,0.7
Hlöllabátar Bústaðarvegi,,Hlöllabátar Bústaðarvegi,64.14145,-21.94206,2023,##F27E18,locator,0.7
Stúdentakjallarinn,,Stúdentakjallarinn,64.13983,-21.91565,2023,##F27E18,locator,0.7
Íssel,,Íssel,64.09628,-21.88838,2023,##F27E18,locator,0.7
Verslunin Álfheimum,,Verslunin Álfheimum,64.13622,-21.89154,2023,##F27E18,locator,0.7
Hagkaup Garðabæ,,Hagkaup Garðabæ,64.08865,-21.92298,2023,##F27E18,locator,0.7
Svens Höfðabakka,,Svens Höfðabakka,64.13052,-21.84356,2023,##F27E18,locator,0.7
Djákninn Reykjavík,,Djákninn Reykjavík,64.11513,-21.86447,2023,##F27E18,locator,0.7
Fairvape,,Fairvape,64.11699,-21.8732,2023,##F27E18,locator,0.7
Gryfjan Skeifunni,,Gryfjan Skeifunni,64.11772,-21.89358,2023,##F27E18,locator,0.7
Kúlan (Ís-Grill),,Kúlan (Ís-Grill),64.1256875,-21.8634043,2025,##F27E18,locator,0.7
Esjuskálinn,,Esjuskálinn,64.2418522,-21.8319117,2025,#448E9D,locator,0.7
Stúdentakjallarinn,,Stúdentakjallarinn,64.1398958,-21.9503903,2025,#448E9D,locator,0.7
Gaukurinn,,Gaukurinn,64.1487171,-21.940199,2025,#448E9D,locator,0.7
GS Búllan Dalbraut,,GS Búllan Dalbraut,64.1493754,-21.8719671,2025,#448E9D,locator,0.7
Hagkaup Garðabæ,,Hagkaup Garðabæ,64.0909781,-21.926364,2025,#448E9D,locator,0.7
Hagkaup Skeifunni,,Hagkaup Skeifunni,64.1294564,-21.8693684,2025,#448E9D,locator,0.7
Hagkaup Kringlunni,,Hagkaup Kringlunni,64.1299986,-21.8953148,2025,#448E9D,locator,0.7
Hagkaup Eiðistorgi,,Hagkaup Eiðistorgi,64.1502427,-21.9845634,2025,#448E9D,locator,0.7
Hagkaup Spönginni,,Hagkaup Spönginni,64.150745,-21.7876703,2025,#448E9D,locator,0.7
Hagkaup Smáralind,,Hagkaup Smáralind,64.1011864,-21.8836695,2025,#448E9D,locator,0.7
Hlöllabátar Hagasmára,,Hlöllabátar Hagasmára,64.102127,-21.8840285,2025,#448E9D,locator,0.7
Hlöllabátar Bústaðarvegi,,Hlöllabátar Bústaðarvegi,64.1430446,-21.8987587,2025,#448E9D,locator,0.7
Hlöllabátar Bíldshöfða,,Hlöllabátar Bíldshöfða,64.1249808,-21.8320254,2025,#448E9D,locator,0.7
Prinsinn,,Prinsinn,64.1018276,-21.8437632,2025,#448E9D,locator,0.7
Lukku Láki,,Lukku Láki,64.1672889,-21.696933,2025,#448E9D,locator,0.7
N1 Ártúnshöfða,,N1 Ártúnshöfða,64.1254515,-21.8273575,2025,#448E9D,locator,0.7
N1 Bíldshöfða,,N1 Bíldshöfða,64.1243136,-21.8291914,2025,#448E9D,locator,0.7
N1 Háholti,,N1 Háholti,64.1681576,-21.6905851,2025,#448E9D,locator,0.7
N1 Lækjargata,,N1 Lækjargata,64.066769,-21.938881,2025,#448E9D,locator,0.7
N1 Borgartúni,,N1 Borgartúni,64.1465439,-21.8946461,2025,#448E9D,locator,0.7
N1 Fossvogi,,N1 Fossvogi,64.1177811,-21.8991603,2025,#448E9D,locator,0.7
N1 Reykjavíkurvegi,,N1 Reykjavíkurvegi,64.0779658,-21.949432,2025,#448E9D,locator,0.7
N1 Skógarsel,,N1 Skógarsel,64.1039252,-21.8457528,2025,#448E9D,locator,0.7
N1 Stóragerði,,N1 Stóragerði,64.126262,-21.8863475,2025,#448E9D,locator,0.7
N1 Gagnvegi,,N1 Gagnvegi,64.1396496,-21.7800256,2025,#448E9D,locator,0.7
N1 Hringbraut,,N1 Hringbraut,64.1385773,-21.9380006,2025,#448E9D,locator,0.7
N1 Stórahjalla,,N1 Stórahjalla,64.1101516,-21.8565888,2025,#448E9D,locator,0.7
N1 Ægisíðu,,N1 Ægisíðu,64.1435519,-21.9662608,2025,#448E9D,locator,0.7
ÓJK-ÍSAM ehf,,ÓJK-ÍSAM ehf,64.1457097,-21.7576933,2025,#448E9D,locator,0.7
10-11 Austurstræti,,10-11 Austurstræti,64.1475672,-21.9375071,2025,#448E9D,locator,0.7
Extra Barónsstíg,,Extra Barónsstíg,64.144646,-21.9184727,2025,#448E9D,locator,0.7
Orkan Grjóthálsi,,Orkan Grjóthálsi,64.1469868,-21.9407552,2025,#448E9D,locator,0.7
Íssel,,Íssel,64.1039789,-21.8784184,2025,#448E9D,locator,0.7
Krambúðin Hófgerði,,Krambúðin Hófgerði,64.1117479,-21.918289,2025,#448E9D,locator,0.7
Krambúðin Lönguhlíð,,Krambúðin Lönguhlíð,64.1333921,-21.9111068,2025,#448E9D,locator,0.7
Nettó Miðvangi,,Nettó Miðvangi,64.0668935,-21.9546958,2025,#448E9D,locator,0.7
Krambúðin Menntavegi,,Krambúðin Menntavegi,64.1469868,-21.9407552,2025,#448E9D,locator,0.7
Nettó Nóatúni,,Nettó Nóatúni,64.1461119,-21.9037432,2025,#448E9D,locator,0.7
Iceland Staðarbergi,,Iceland Staðarbergi,64.06644,-21.936223,2025,#448E9D,locator,0.7
Krambúðin Grímsbæ,,Krambúðin Grímsbæ,64.1220387,-21.8751242,2025,#448E9D,locator,0.7
Krambúðin Skólavörðustíg,,Krambúðin Skólavörðustíg,64.142863,-21.928474,2025,#448E9D,locator,0.7
Krambúðin Eggertsgötu,,Krambúðin Eggertsgötu,64.135353,-21.950681,2025,#448E9D,locator,0.7
Krambúðin Hjarðarhaga,,Krambúðin Hjarðarhaga,64.1417232,-21.9619544,2025,#448E9D,locator,0.7
Nettó Mjódd,,Nettó Mjódd,64.1087986,-21.8422795,2025,#448E9D,locator,0.7
Nettó Granda,,Nettó Granda,64.154541,-21.951684,2025,#448E9D,locator,0.7
Iceland Glæsibæ,,Iceland Glæsibæ,64.1344236,-21.8695903,2025,#448E9D,locator,0.7
